argumentTypeId,argumentTypeName,sourceOccurrenceId,sourceTaxonId,sourceTaxonName,sourceTaxonKingdomName,sourceBodyPartId,sourceBodyPartName,sourceLifeStageId,sourceLifeStageName,sourcePhysiologicalStateId,sourcePhysiologicalStateName,interactionTypeId,interactionTypeName,targetOccurrenceId,targetTaxonId,targetTaxonName,targetTaxonKingdomName,targetTaxonPhylumName,targetTaxonClassName,targetTaxonOrderName,targetTaxonFamilyName,targetTaxonGenusName,targetTaxonSpecificEpithetName,targetTaxonSubSpecificEpithetName,targetBodyPartId,targetBodyPartName,targetLifeStageId,targetLifeStageName,targetPhysiologicalStateId,targetPhysiologicalStateName,localityId,localityName,decimalLatitude,decimalLongitude,observationDateTime,referenceDoi,referenceUrl,referenceCitation
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,"Orthobunyavirus California encephalitis virus La Crosse virus
",,,,,,Orthobunyavirus,"California encephalitis virus La Crosse virus
",,,,,,,,,USA,,,1988,10.4269/ajtmh.1988.39.409,https://pubmed.ncbi.nlm.nih.gov/3189702/,"Godsey, M. S., Jr., Amoo, F., Yuill, T. M. & Defoliart, G. R. California serogroup virus infections in Wisconsin domestic animals. Am J Trop Med Hyg 39, 409-416 (1988)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Norovirus Porcine norovirus Genogroup II,,,,,,Norovirus,Porcine norovirus,Genogroup II,,,,,,,,,,,,10.1128/JCM.43.2.657-661.2005,,"Farkas, T. et al. Seroprevalence of noroviruses in swine. Journal of clinical microbiology 43, 657-661, doi:43/2/657 [pii] 10.1128/JCM.43.2.657-661.2005 (2005)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Norovirus Porcine norovirus Genogroup II,,,,,,Norovirus,Porcine norovirus,Genogroup II,,,,,,,,,,,,10.1007/s007050050369,https://link.springer.com/article/10.1007/s007050050369,"Sugieda, M. et al. Detection of Norwalk-like virus genes in the caecum contents of pigs. Arch Virol 143, 1215-1221 (1998)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Sapovirus Porcine sapovirus,,,,,,Sapovirus,Porcine sapovirus,,,,,,,,,,,,,,,
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Sapovirus Porcine sapovirus Genogroup VI,,,,,,Sapovirus,Porcine sapovirus,Genogroup VI,,,,,,,,USA,,,2000,10.1128/JCM.43.12.5963-5972.2005,,"Wang, Q. H. et al. Genetic diversity and recombination of porcine sapoviruses. Journal of clinical microbiology 43, 5963-5972, doi:43/12/5963 [pii] 10.1128/JCM.43.12.5963-5972.2005 (2005)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Sapovirus Porcine sapovirus Genogroup VII,,,,,,Sapovirus,Porcine sapovirus,Genogroup VII,,,,,,,,Japan,,,2002,10.1007/s00705-006-0750-y,,"Yin, Y. et al. Genetic analysis of calicivirus genomes detected in intestinal contents of piglets in Japan. Arch Virol 151, 1749-1759, doi:10.1007/s00705-006-0750-y (2006)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Sapovirus Porcine sapovirus Genogroup VIII,,,,,,Sapovirus,Porcine sapovirus,Genogroup VIII,,,,,,,,USA,,,2002,10.1128/JCM.43.12.5963-5972.2005,,"Wang, Q. H. et al. Genetic diversity and recombination of porcine sapoviruses. Journal of clinical microbiology 43, 5963-5972, doi:43/12/5963 [pii] 10.1128/JCM.43.12.5963-5972.2005 (2005)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Sapovirus Porcine sapovirus Genogroup VIII,,,,,,Sapovirus,Porcine sapovirus,Genogroup VIII,,,,,,,,USA,,,2002,10.1128/JCM.01279-09,,"Reuter, G. et al. Incidence, diversity, and molecular epidemiology of sapoviruses in swine across Europe. Journal of clinical microbiology 48, 363-368, doi:JCM.01279-09 [pii] 10.1128/JCM.01279-09 (2010)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Sapovirus Porcine sapovirus Genogroup IX,,,,,,Sapovirus,Porcine sapovirus,Genogroup IX,,,,,,,,Italy,,,2006,10.1128/JCM.01279-09,,"Reuter, G. et al. Incidence, diversity, and molecular epidemiology of sapoviruses in swine across Europe. Journal of clinical microbiology 48, 363-368, doi:JCM.01279-09 [pii] 10.1128/JCM.01279-09 (2010)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Sapovirus Porcine sapovirus Genogroup X,,,,,,Sapovirus,Porcine sapovirus,Genogroup X,,,,,,,,Slovenia,,,2004,10.1128/JCM.01279-09,,"Reuter, G. et al. Incidence, diversity, and molecular epidemiology of sapoviruses in swine across Europe. Journal of clinical microbiology 48, 363-368, doi:JCM.01279-09 [pii] 10.1128/JCM.01279-09 (2010)."
